# Frequency of Words Appearing in 4 Years of the Mainichi Newspaper.
# This file was produced by Charles Kelly (September 24-26, 2003)
# http://aitech.ac.jp/~ckelly/
#
# This file recalculates the word frequency counts in
# Alexandre Girardi's "wordfreq" file. (1998)
#
# This is what I did.
# The counts for the various forms of the same word were merged.
# Certain words/items were removed: numbers, English and romaji,
# punctuation, phrases ending in the particle "wo", lines beginning with
# "n" or the particle "wo."
# Then the file was sorted by "the count."
#
# The most fequently used word was used 3,711,420 times.
#    592 words were used more than 10,000 times.
#  5,039 words were used more than 1,000 times.
#  7,654 words were used more than 500 times.
# 19,602 words were used more than 100 times.
# 26,813 words were used more than 50 times.
# 38,389 words were used more than 20 times.
#
# The data contains 142,298 lines in the following format.
# The Word + TAB + The Count

赤字	5988
本当	5980
思い	5976
役員	5976
運営	5975
訪れる	5973
構成	5969
乗る	5969
演説	5966
半	5962
ゴルバチョフ	5950
開放	5950
幸	5946
分析	5945
臨時	5945
否定	5942
君	5940
界	5939
田中	5928
生徒	5925
転換	5924
改めて	5922
理	5917
例	5916
石油	5915
円高	5914
工事	5906
府	5903
夢	5896
健康	5893
被害	5888
づくり	5880
関税	5880
現代	5874
暴力団	5865
路線	5855
明	5840
相談	5835
我々	5832
戦略	5831
加藤	5829
獲得	5826
ロンドン	5826
承認	5824
帰国	5816
毎日新聞社	5813
秀	5812
再開	5800
あまり	5799
すぐ	5797
主	5795
おく	5795
現状	5794
食べる	5793
新生	5793
果たす	5788
医師	5782
競争	5780
ポイント	5776
減税	5770
あげる	5763
懸念	5751
修正	5751
上げる	5741
寺	5739
方式	5737
集まる	5734
声明	5728
秒	5723
レベル	5717
難民	5716
危険	5713
良	5694
主義	5690
業務	5688
明確	5680
一緒	5678
社員	5672
崩壊	5668
分の	5667
激しい	5666
校	5657
部隊	5653
票	5649
製品	5647
カ所	5646
疑惑	5638
発見	5631
前回	5628
独自	5627
減る	5612
容疑	5604
賛成	5597
平	5579
作家	5579
違い	5577
旅行	5570
市長	5551
交換	5545
長期	5538
地裁	5537
誕生	5532
共同体	5531
かつて	5502
当然	5498
実験	5496
小選挙区	5495
制裁	5492
待つ	5491
風	5479
上昇	5472
会館	5469
消費	5457
福岡	5447
これら	5445
行為	5441
紛争	5438
科学	5433
保守	5427
学	5426
監視	5425
枚	5423
慎重	5418
直後	5412
再び	5407
調べる	5394
相次ぐ	5392
これから	5390
高まる	5382
焦点	5378
辞任	5370
つ	5363
資料	5361
消費者	5354
安打	5349
でも	5344
名前	5341
製造	5336
低い	5333
河野	5328
ゴルフ	5327
移植	5326
企画	5320
誌	5319
街	5312
受け入れる	5307
バブル	5306
後半	5306
パレスチナ	5304
回答	5293
訴訟	5291
隊	5288
限り	5287
会場	5285
福祉	5279
橋	5278
停止	5277
取材	5265
利益	5259
なか	5258
首都	5256
史	5254
抑える	5248
緩和	5246
多数	5240
打ち出す	5236
保険	5234
もつ	5221
弁護士	5207
撤退	5206
減少	5206
大切	5204
パリ	5203
名古屋	5200
活躍	5199
幅	5191
もと	5189
重視	5187
発	5183
低下	5179
